가	k a
각끕뻐붜느로	k a k̚ k͈ ɯ p̚ p͈ ʌ b w ʌ n ɯ ɾ o
각뼐히	k a k̚ p͈ j ʌ l h i
각쫑	k a k̚ t͡ɕ͈ o ŋ
간	k a n
간간대소를	k a n k a n t ɛ s o ɾ ɯ l
간고키	k a n k o kʰ i
간나늬	k a n n a n i
간나니	k a n n a n i
간나니가	k a n n a n i g a
간나니는	k a n n a n i n ɯ n
간나니를	k a n n a n i ɾ ɯ l
간나니에게	k a n n a n i e g e
간난	k a n n a n
간난네	k a n n a n n e
간다	k a n t a
간덩이	k a n t ʌ ŋ i
간서파는	k a n s ʌ pʰ a n ɯ n
간수는	k a n s u n ɯ n
간수의	k a n s u ɰ i
간지러믈	k a n t͡ɕ i ɾ ʌ m ɯ l
간청을	k a n t͡ɕʰ ʌ ŋ ɯ l
갇	k a t̚
갇따	k a t̚ t͈ a
갇따가	k a t̚ t͈ a g a
갇떠니	k a t̚ t͈ ʌ n i
갇떤	k a t̚ t͈ ʌ n
갇찌	k a t̚ t͡ɕ͈ i
갇찌아는	k a t̚ t͡ɕ͈ i a n ɯ n
갈	k a l
갈까	k a l k͈ a
갈서서	k a l s ʌ s ʌ
갈쑤록	k a l s͈ u ɾ o k̚
감겨	k a m k j ʌ
감겨게	k a m k j ʌ g e
감겨글	k a m k j ʌ g ɯ l
감겨카는	k a m k j ʌ kʰ a n ɯ n
감꼬	k a m k͈ o
감는다	k a m n ɯ n t a
감도게게	k a m t o g e k e
감도게게서	k a m t o g e k e s ʌ
감도근	k a m t o g ɯ n
감도글	k a m t o g ɯ l
감도긔	k a m t o g i
감도기	k a m t o g i
감독꽈	k a m t o k̚ k͈ w a
감사와	k a m s a w a
감사하여쓰면	k a m s a h a j ʌ s͈ ɯ m j ʌ n
감사함니다	k a m s a h a m n i d a
감수하던	k a m s u h a d ʌ n
감정을	k a m t͡ɕ ʌ ŋ ɯ l
감정이	k a m t͡ɕ ʌ ŋ i
감칠도화혀니며	k a m t͡ɕʰ i l t o h w a h j ʌ n i m j ʌ
갑짜기	k a p̚ t͡ɕ͈ a g i
강강한데	k a ŋ k a ŋ h a n t e
강무리	k a ŋ m u ɾ i
강산	k a ŋ s a n
강아지가	k a ŋ a d͡ʑ i g a
강요하여서는	k a ŋ j o h a j ʌ s ʌ n ɯ n
강하엳따	k a ŋ h a j ʌ t̚ t͈ a
강한	k a ŋ h a n
개	k ɛ
개똥	k ɛ t͈ o ŋ
개똥이네	k ɛ t͈ o ŋ i n e
개똥이의	k ɛ t͈ o ŋ i ɰ i
개성을	k ɛ s ʌ ŋ ɯ l
개수는	k ɛ s u n ɯ n
개어	k ɛ ʌ
개요가	k ɛ j o g a
개인정보는	k ɛ i n t͡ɕ ʌ ŋ p o n ɯ n
개처네서	k ɛ t͡ɕʰ ʌ n e s ʌ
갤	k ɛ l
걔가	k j ɛ g a
거	k ʌ
거기	k ʌ g i
거기를	k ʌ g i ɾ ɯ l
거기서	k ʌ g i s ʌ
거기에는	k ʌ g i e n ɯ n
거꾸로	k ʌ k͈ u ɾ o
거더차고	k ʌ d ʌ t͡ɕʰ a g o
거드파고	k ʌ d ɯ pʰ a g o
거들떠보지도	k ʌ d ɯ l t͈ ʌ b o d͡ʑ i d o
거러	k ʌ ɾ ʌ
거러가면서	k ʌ ɾ ʌ g a m j ʌ n s ʌ
거러갇따	k ʌ ɾ ʌ g a t̚ t͈ a
거러갈	k ʌ ɾ ʌ g a l
거러드러온다	k ʌ ɾ ʌ d ɯ ɾ ʌ o n t a
거러오는	k ʌ ɾ ʌ o n ɯ n
거러요	k ʌ ɾ ʌ j o
거럳따	k ʌ ɾ ʌ t̚ t͈ a
거르메는	k ʌ ɾ ɯ m e n ɯ n
거르며	k ʌ ɾ ɯ m j ʌ
거르믄	k ʌ ɾ ɯ m ɯ n
거를쑤록	k ʌ ɾ ɯ l s͈ u ɾ o k̚
거름	k ʌ ɾ ɯ m
거름도	k ʌ ɾ ɯ m t o
거리를	k ʌ ɾ i l ɯ l
거리에서	k ʌ ɾ i e s ʌ
거부칸	k ʌ b u kʰ a n
거부캐서	k ʌ b u kʰ ɛ s ʌ
거부함니다	k ʌ b u h a m n i d a
거비	k ʌ b i
거스로	k ʌ s ɯ ɾ o
거슨	k ʌ s ɯ n
거슬	k ʌ s ɯ l
거시	k ʌ s i
거시나	k ʌ s i n a
거시니	k ʌ s i n i
거시니라	k ʌ s i n i ɾ a
거시다	k ʌ s i d a
거시란	k ʌ s i ɾ a n
거시야	k ʌ s i j a
거시얻따	k ʌ s i ʌ t̚ t͈ a
거시오	k ʌ s i o
거시요	k ʌ s i j o
거신	k ʌ s i n
거심니다	k ʌ s i m n i d a
거우를	k ʌ u ɾ ɯ l
거의	k ʌ ɰ i
거저나	k ʌ d͡ʑ ʌ n a
거절한다면	k ʌ d͡ʑ ʌ l h a n t a m j ʌ n
거지	k ʌ d͡ʑ i
거지나	k ʌ d͡ʑ i n a
거지세서	k ʌ d͡ʑ i s e s ʌ
거진마른	k ʌ d͡ʑ i n m a ɾ ɯ n
거진마를	k ʌ d͡ʑ i n m a ɾ ɯ l
거진마리라고	k ʌ d͡ʑ i n m a ɾ i l a g o
거진말하는	k ʌ d͡ʑ i n m a l h a n ɯ n
거짇	k ʌ d͡ʑ i t̚
걱쩡도	k ʌ k̚ t͡ɕ͈ ʌ ŋ t o
걱쩡을	k ʌ k̚ t͡ɕ͈ ʌ ŋ ɯ l
걱쩡핻씀니다	k ʌ k̚ t͡ɕ͈ ʌ ŋ h ɛ t̚ s͈ ɯ m n i d a
건	k ʌ n
건강을	k ʌ n k a ŋ ɯ l
건강히	k ʌ n k a ŋ h i
건넌마으레서	k ʌ n n ʌ n m a ɯ ɾ e s ʌ
건널	k ʌ n n ʌ l
건네기를	k ʌ n n e g i ɾ ɯ l
건는드	k ʌ n n ɯ n t ɯ
건달패와	k ʌ n t a l pʰ ɛ w a
건배	k ʌ n p ɛ
건배와	k ʌ n p ɛ w a
건배의	k ʌ n p ɛ ɰ i
걷	k ʌ t̚
걷따가	k ʌ t̚ t͈ a g a
걷또	k ʌ t̚ t͈ o
걷뽀다	k ʌ t̚ p͈ o d a
걷뿌님니다	k ʌ t̚ p͈ u n i m n i d a
걷처럼	k ʌ t̚ t͡ɕʰ ʌ ɾ ʌ m
걸	k ʌ l
걸그루비	k ʌ l k ɯ ɾ u b i
걸레로	k ʌ l l e ɾ o
걸려	k ʌ l l j ʌ
걸린	k ʌ l l i n
걸터듬해서	k ʌ l tʰ ʌ d ɯ m h ɛ s ʌ
걸터안즌	k ʌ l tʰ ʌ a n t͡ɕ ɯ n
검버서시	k ʌ m p ʌ s ʌ s i
검불근	k ʌ m p u l k ɯ n
검새칸다죠	k ʌ m s ɛ kʰ a n t a d͡ʑ j o
검색	k ʌ m s ɛ k̚
검정이를	k ʌ m t͡ɕ ʌ ŋ i ɾ ɯ l
게	k e
게다가	k e d a g a
게으른	k e ɯ ɾ ɯ n
게이메	k e i m e
게이믈	k e i m ɯ l
게이미	k e i m i
게이미긴	k e i m i g i n
게임	k e i m
겨거니	k j ʌ g ʌ n i
겨우	k j ʌ u
겨우릐	k j ʌ u ɾ i
겨울	k j ʌ u l
겨울도	k j ʌ u l t o
겨워	k j ʌ w ʌ
겨테	k j ʌ tʰ e
겨트로	k j ʌ tʰ ɯ ɾ o
견누느로	k j ʌ n n u n ɯ ɾ o
견눈질해	k j ʌ n n u n t͡ɕ i l h ɛ
견딜	k j ʌ n t i l
결과	k j ʌ l k w a
결구근	k j ʌ l k u g ɯ n
결궁	k j ʌ l k u ŋ
결시믈	k j ʌ l s i m ɯ l
결시미	k j ʌ l s i m i
결코	k j ʌ l kʰ o
결호늘	k j ʌ l h o n ɯ l
결혼	k j ʌ l h o n
겸손하면	k j ʌ m s o n h a m j ʌ n
겸할	k j ʌ m h a l
경기	k j ʌ ŋ k i
경기장은	k j ʌ ŋ k i d͡ʑ a ŋ ɯ n
경녀기	k j ʌ ŋ n j ʌ g i
경영은	k j ʌ ŋ j ʌ ŋ ɯ n
경외하기를	k j ʌ ŋ w e h a g i ɾ ɯ l
경우에	k j ʌ ŋ u e
경우에는	k j ʌ ŋ u e n ɯ n
경우에서	k j ʌ ŋ u e s ʌ
경우죠	k j ʌ ŋ u d͡ʑ j o
경적	k j ʌ ŋ t͡ɕ ʌ k̚
경제의	k j ʌ ŋ t͡ɕ e ɰ i
경찰서에서	k j ʌ ŋ t͡ɕʰ a l s ʌ e s ʌ
계그베게는	k j e g ɯ b e g e n ɯ n
계그븨시글	k j e g ɯ b i s i g ɯ l
계셛씀니다	k j e s j ʌ t̚ s͈ ɯ m n i d a
계소카는	k j e s o kʰ a n ɯ n
계소칸다	k j e s o kʰ a n t a
계속	k j e s o k̚
계저리	k j e d͡ʑ ʌ ɾ i
계지	k j e d͡ʑ i
계지배	k j e d͡ʑ i b ɛ
계지배드른	k j e d͡ʑ i b ɛ d ɯ ɾ ɯ n
계지비란	k j e d͡ʑ i b i ɾ a n
계회긔	k j e h w e g i
고개	k o g ɛ
고개를	k o g ɛ ɾ ɯ l
고갱님	k o g ɛ ŋ n i m
고꾸라지드시	k o k͈ u ɾ a d͡ʑ i d ɯ s i
고나늬	k o n a n i
고단한	k o d a n h a n
고달프더라도	k o d a l pʰ ɯ d ʌ ɾ a d o
고도칸	k o d o kʰ a n
고드니라	k o d ɯ n i ɾ a
고등학꾜의	k o d ɯ ŋ h a k̚ k͈ j o ɰ i
고라글	k o ɾ a g ɯ l
고랑에는	k o ɾ a ŋ e n ɯ n
고르기	k o ɾ ɯ g i
고르믈	k o ɾ ɯ m ɯ l
고름	k o ɾ ɯ m
고리타분한	k o ɾ i tʰ a b u n h a n
고마우메	k o m a u m e
고마워요	k o m a w ʌ j o
고마워하고	k o m a w ʌ h a g o
고마웓따	k o m a w ʌ t̚ t͈ a
고만	k o m a n
고맙끼도	k o m a p̚ k͈ i d o
고맙씀니다	k o m a p̚ s͈ ɯ m n i d a
고문받떤	k o m u n p a t̚ t͈ ʌ n
고미는	k o m i n ɯ n
고븐	k o b ɯ n
고상하게	k o s a ŋ h a g e
고세	k o s e
고세서	k o s e s ʌ
고세서는	k o s e s ʌ n ɯ n
고스란히	k o s ɯ ɾ a n h i
고슨	k o s ɯ n
고슬	k o s ɯ l
고양이	k o j a ŋ i
고요하게	k o j o h a g e
고요하다	k o j o h a d a
고요하여질	k o j o h a j ʌ d͡ʑ i l
고요하엳따	k o j o h a j ʌ t̚ t͈ a
고요한	k o j o h a n
고용하는	k o j o ŋ h a n ɯ n
고용함과	k o j o ŋ h a m k w a
고운	k o u n
고즈너키	k o d͡ʑ ɯ n ʌ kʰ i
고짐만	k o d͡ʑ i m m a n
고치통을	k o t͡ɕʰ i tʰ o ŋ ɯ l
고통으로	k o tʰ o ŋ ɯ ɾ o
고통을	k o tʰ o ŋ ɯ l
고파쓰메도	k o pʰ a s͈ ɯ m e d o
고프나	k o pʰ ɯ n a
고픈	k o pʰ ɯ n
고하연느냐	k o h a j ʌ n n ɯ n j a
고해	k o h ɛ
고향버덤두	k o h j a ŋ p ʌ d ʌ m t u
고향으로	k o h j a ŋ ɯ ɾ o
고향의	k o h j a ŋ ɰ i
곡썽을	k o k̚ s͈ ʌ ŋ ɯ l
곡쪼	k o k̚ t͡ɕ͈ o
곤드라지고	k o n t ɯ ɾ a d͡ʑ i g o
곤드라지는	k o n t ɯ ɾ a d͡ʑ i n ɯ n
곤하던	k o n h a d ʌ n
곤한	k o n h a n
곧	k o t̚
골기메	k o l k i m e
골라	k o l l a
골라네	k o l l a n e
골모그로	k o l m o g ɯ ɾ o
골목	k o l m o k̚
골몽	k o l m o ŋ
골수로	k o l s u ɾ o
골짜구니가	k o l t͡ɕ͈ a g u n i g a
곰고미	k o m k o m i
곱께	k o p̚ k͈ e
곱뜨러지며	k o p̚ t͈ ɯ ɾ ʌ d͡ʑ i m j ʌ
공개한다	k o ŋ k ɛ h a n t a
공기여써요	k o ŋ k i j ʌ s͈ ʌ j o
공부	k o ŋ p u
공부를	k o ŋ p u ɾ ɯ l
공여니	k o ŋ j ʌ n i
공연한	k o ŋ j ʌ n h a n
공연히	k o ŋ j ʌ n h i
공을	k o ŋ ɯ l
공의와	k o ŋ ɰ i w a
공의의	k o ŋ ɰ i ɰ i
공장에	k o ŋ t͡ɕ a ŋ e
공장에서	k o ŋ t͡ɕ a ŋ e s ʌ
공장의	k o ŋ t͡ɕ a ŋ ɰ i
공중의	k o ŋ t͡ɕ u ŋ ɰ i
공지그로부터	k o ŋ t͡ɕ i g ɯ ɾ o b u tʰ ʌ
공평과	k o ŋ pʰ j ʌ ŋ k w a
과가치	k w a g a t͡ɕʰ i
과감하게	k w a g a m h a g e
과거를	k w a g ʌ ɾ ɯ l
과거의	k w a g ʌ ɰ i
과녀할	k w a n j ʌ h a l
과늘	k w a n ɯ l
과다늘	k w a d a n ɯ l
과모근	k w a m o g ɯ n
과반수	k w a b a n s u
과자	k w a d͡ʑ a
과자를	k w a d͡ʑ a ɾ ɯ l
관겨기	k w a n k j ʌ g i
관겨기야	k w a n k j ʌ g i j a
관계되는	k w a n k j e d w e n ɯ n
관계를	k w a n k j e ɾ ɯ l
관대한	k w a n t ɛ h a n
관망하기로	k w a n m a ŋ h a g i ɾ o
관하여	k w a n h a j ʌ
관한	k w a n h a n
광염	k w a ŋ j ʌ m
광으믈	k w a ŋ ɯ m ɯ l
광저그로	k w a ŋ t͡ɕ ʌ g ɯ ɾ o
광채가	k w a ŋ t͡ɕʰ ɛ g a
광채를	k w a ŋ t͡ɕʰ ɛ ɾ ɯ l
광포	k w a ŋ pʰ o
광포성을	k w a ŋ pʰ o s ʌ ŋ ɯ l
괜차낟씀니다	k w ɛ n t͡ɕʰ a n a t̚ s͈ ɯ m n i d a
괴로우나	k w e ɾ o u n a
괴로운	k w e ɾ o u n
괴로웓따	k w e ɾ o w ʌ t̚ t͈ a
괴롭께	k w e ɾ o p̚ k͈ e
괴롭꼬도	k w e ɾ o p̚ k͈ o d o
괴상하게도	k w e s a ŋ h a g e d o
괴상한	k w e s a ŋ h a n
굉장하게	k w e ŋ t͡ɕ a ŋ h a g e
굉장히	k w e ŋ t͡ɕ a ŋ h i
교내외	k j o n ɛ w e
교대하는	k j o d ɛ h a n ɯ n
교만하면	k j o m a n h a m j ʌ n
교수니미	k j o s u n i m i
교육꽈정을	k j o j u k̚ k͈ w a d͡ʑ ʌ ŋ ɯ l
교인드리	k j o i n t ɯ ɾ i
교장	k j o d͡ʑ a ŋ
교차기	k j o t͡ɕʰ a g i
교타글	k j o tʰ a g ɯ l
교화자로서의	k j o h w a d͡ʑ a ɾ o s ʌ ɰ i
교회당	k j o h w e d a ŋ
교후는	k j o h u n ɯ n
교후늘	k j o h u n ɯ l
구	k u
구걸하는	k u g ʌ l h a n ɯ n
구경꾸닌	k u g j ʌ ŋ k͈ u n i n
구글	k u g ɯ l
구네게	k u n e g e
구두를	k u d u ɾ ɯ l
구두징	k u d u d͡ʑ i ŋ
구둗빠레	k u d u t̚ p͈ a ɾ e
구르믈	k u ɾ ɯ m ɯ l
구르미	k u ɾ ɯ m i
구름과	k u ɾ ɯ m k w a
구멍	k u m ʌ ŋ
구멍은	k u m ʌ ŋ ɯ n
구부러지고	k u b u ɾ ʌ d͡ʑ i g o
구부리며	k u b u ɾ i m j ʌ
구비처	k u b i t͡ɕʰ ʌ
구성된	k u s ʌ ŋ t w e n
구수하게	k u s u h a g e
구여글	k u j ʌ g ɯ l
구여기	k u j ʌ g i
구역찌를	k u j ʌ k̚ t͡ɕ͈ i ɾ ɯ l
구울	k u u l
구장은	k u d͡ʑ a ŋ ɯ n
구장의	k u d͡ʑ a ŋ ɰ i
구제하는	k u d͡ʑ e h a n ɯ n
구지	k u d͡ʑ i
구쾨는	k u kʰ w e n ɯ n
구쾨의	k u kʰ w e ɰ i
구쾨의워는	k u kʰ w e ɰ i w ʌ n ɯ n
구쾨의워늬	k u kʰ w e ɰ i w ʌ n i
구쾨재저긔원	k u kʰ w e d͡ʑ ɛ t͡ɕ ʌ g i w ʌ n
구태여	k u tʰ ɛ j ʌ
구펴	k u pʰ j ʌ
구피며	k u pʰ i m j ʌ
구하면	k u h a m j ʌ n
구하엳싸오니	k u h a j ʌ t̚ s͈ a o n i
국까는	k u k̚ k͈ a n ɯ n
국까의	k u k̚ k͈ a ɰ i
국까표준제도를	k u k̚ k͈ a pʰ j o d͡ʑ u n t͡ɕ e d o ɾ ɯ l
국꾜는	k u k̚ k͈ j o n ɯ n
국꾸늬	k u k̚ k͈ u n i
국꿍무를	k u k̚ k͈ u ŋ m u ɾ ɯ l
국빱찝	k u k̚ p͈ a p̚ t͡ɕ͈ i p̚
국빵의	k u k̚ p͈ a ŋ ɰ i
군사에	k u n s a e
군소리하드	k u n s o ɾ i h a d ɯ
군수	k u n s u
군수와	k u n s u w a
굳께	k u t̚ k͈ e
굳쎄고	k u t̚ s͈ e g o
굴근	k u l k ɯ n
굴다리	k u l t a ɾ i
굴려	k u l l j ʌ
궁금증에	k u ŋ k ɯ m t͡ɕ ɯ ŋ e
궁금해서	k u ŋ k ɯ m h ɛ s ʌ
궁무총니는	k u ŋ m u t͡ɕʰ o ŋ n i n ɯ n
궁미는	k u ŋ m i n ɯ n
궁미니다	k u ŋ m i n i d a
궁창	k u ŋ t͡ɕʰ a ŋ
궁창을	k u ŋ t͡ɕʰ a ŋ ɯ l
궁피파메	k u ŋ pʰ i pʰ a m e
궁피파지	k u ŋ pʰ i pʰ a d͡ʑ i
권고하기에	k w ʌ n k o h a g i e
권하는	k w ʌ n h a n ɯ n
권하엳따	k w ʌ n h a j ʌ t̚ t͈ a
권한다	k w ʌ n h a n t a
궐려글	k w ʌ l l j ʌ g ɯ l
귀가	k w i g a
귀를	k w i ɾ ɯ l
귀무리얻따	k w i m u ɾ i ʌ t̚ t͈ a
귀시니	k w i s i n i
귀에다	k w i e d a
귀여운	k w i j ʌ u n
귀여워서	k w i j ʌ w ʌ s ʌ
귀여워하는	k w i j ʌ w ʌ h a n ɯ n
귀찬타는	k w i t͡ɕʰ a n tʰ a n ɯ n
귀하고	k w i h a g o
귇까를	k w i t̚ k͈ a ɾ ɯ l
규치그로	k j u t͡ɕʰ i g ɯ ɾ o
규탄해야	k j u tʰ a n h ɛ j a
그	k ɯ
그가	k ɯ g a
그거슨	k ɯ g ʌ s ɯ n
그거슬	k ɯ g ʌ s ɯ l
그거시	k ɯ g ʌ s i
그걷	k ɯ g ʌ t̚
그걷또	k ɯ g ʌ t̚ t͈ o
그걷뿌니니까	k ɯ g ʌ t̚ p͈ u n i n i k͈ a
그걸	k ɯ g ʌ l
그걸로	k ɯ g ʌ l l o
그고슬	k ɯ g o s ɯ l
그나마	k ɯ n a m a
그날	k ɯ n a l
그냥	k ɯ n j a ŋ
그네드른	k ɯ n e d ɯ ɾ ɯ n
그네드리	k ɯ n e d ɯ ɾ i
그녀는	k ɯ n j ʌ n ɯ n
그누믜	k ɯ n u m i
그는	k ɯ n ɯ n
그다지	k ɯ d a d͡ʑ i
그대로	k ɯ d ɛ ɾ o
그대마늬	k ɯ d ɛ m a n i
그드른	k ɯ d ɯ ɾ ɯ n
그드를	k ɯ d ɯ ɾ ɯ l
그드릐	k ɯ d ɯ ɾ i
그드리	k ɯ d ɯ ɾ i
그들도	k ɯ d ɯ l t o
그때	k ɯ t͈ ɛ
그때까지는	k ɯ t͈ ɛ k͈ a d͡ʑ i n ɯ n
그때도	k ɯ t͈ ɛ d o
그때를	k ɯ t͈ ɛ ɾ ɯ l
그때부터	k ɯ t͈ ɛ b u tʰ ʌ
그때야	k ɯ t͈ ɛ j a
그때에	k ɯ t͈ ɛ e
그때의	k ɯ t͈ ɛ ɰ i
그래	k ɯ ɾ ɛ
그래도	k ɯ ɾ ɛ d o
그래봐야	k ɯ ɾ ɛ b w a j a
그래서	k ɯ ɾ ɛ s ʌ
그랟떠니	k ɯ ɾ ɛ t̚ t͈ ʌ n i
그러고	k ɯ ɾ ʌ g o
그러고는	k ɯ ɾ ʌ g o n ɯ n
그러나	k ɯ ɾ ʌ n a
그러는	k ɯ ɾ ʌ n ɯ n
그러니	k ɯ ɾ ʌ n i
그러다가는	k ɯ ɾ ʌ d a g a n ɯ n
그러던	k ɯ ɾ ʌ d ʌ n
그러면	k ɯ ɾ ʌ m j ʌ n
그러묘	k ɯ ɾ ʌ m j o
그러므로	k ɯ ɾ ʌ m ɯ ɾ o
그러씀니다	k ɯ ɾ ʌ s͈ ɯ m n i d a
그러자	k ɯ ɾ ʌ d͡ʑ a
그러치만	k ɯ ɾ ʌ t͡ɕʰ i m a n
그러케	k ɯ ɾ ʌ kʰ e
그러쿠나	k ɯ ɾ ʌ kʰ u n a
그러타고	k ɯ ɾ ʌ tʰ a g o
그러하엳떤	k ɯ ɾ ʌ h a j ʌ t̚ t͈ ʌ n
그러하지	k ɯ ɾ ʌ h a d͡ʑ i
그럭쩌럭	k ɯ ɾ ʌ k̚ t͡ɕ͈ ʌ ɾ ʌ k̚
그런	k ɯ ɾ ʌ n
그런데	k ɯ ɾ ʌ n t e
그런증	k ɯ ɾ ʌ n t͡ɕ ɯ ŋ
그런지라	k ɯ ɾ ʌ n t͡ɕ i ɾ a
그럴	k ɯ ɾ ʌ l
그럴드탄	k ɯ ɾ ʌ l t ɯ tʰ a n
그럼	k ɯ ɾ ʌ m
그려	k ɯ ɾ j ʌ
그로	k ɯ ɾ o
그르렁그르렁	k ɯ ɾ ɯ l ʌ ŋ k ɯ ɾ ɯ l ʌ ŋ
그르슬	k ɯ ɾ ɯ s ɯ l
그를	k ɯ ɾ ɯ l
그리	k ɯ ɾ i
그리고	k ɯ ɾ i g o
그리며	k ɯ ɾ i m j ʌ
그리믈	k ɯ ɾ i m ɯ l
그리미	k ɯ ɾ i m i
그리미다	k ɯ ɾ i m i d a
그리워핻씀니다	k ɯ ɾ i w ʌ h ɛ t̚ s͈ ɯ m n i d a
그리웓따	k ɯ ɾ i w ʌ t̚ t͈ a
그리할	k ɯ ɾ i h a l
그림자로	k ɯ ɾ i m t͡ɕ a ɾ o
그림자를	k ɯ ɾ i m t͡ɕ a ɾ ɯ l
그만	k ɯ m a n
그만큼	k ɯ m a n kʰ ɯ m
그만하고	k ɯ m a n h a g o
그무를	k ɯ m u ɾ ɯ l
그뿐	k ɯ p͈ u n
그애의	k ɯ ɛ ɰ i
그어	k ɯ ʌ
그에게	k ɯ e g e
그와	k ɯ w a
그으른	k ɯ ɯ ɾ ɯ n
그의	k ɯ ɰ i
그이를	k ɯ i ɾ ɯ l
그저	k ɯ d͡ʑ ʌ
그저네	k ɯ d͡ʑ ʌ n e
그제서야	k ɯ d͡ʑ e s ʌ j a
그제야	k ɯ d͡ʑ e j a
그치지	k ɯ t͡ɕʰ i d͡ʑ i
그친다	k ɯ t͡ɕʰ i n t a
그파게	k ɯ pʰ a g e
그패서요	k ɯ pʰ ɛ s ʌ j o
그펴느로	k ɯ pʰ j ʌ n ɯ ɾ o
그피	k ɯ pʰ i
극따느로	k ɯ k̚ t͈ a n ɯ ɾ o
근거를	k ɯ n k ʌ ɾ ɯ l
근는	k ɯ n n ɯ n
근본채글	k ɯ n p o n t͡ɕʰ ɛ g ɯ l
근신하믈	k ɯ n s i n h a m ɯ l
근심하는	k ɯ n s i m h a n ɯ n
근자에	k ɯ n t͡ɕ a e
근처	k ɯ n t͡ɕʰ ʌ
근처를	k ɯ n t͡ɕʰ ʌ ɾ ɯ l
근처에서	k ɯ n t͡ɕʰ ʌ e s ʌ
근처의	k ɯ n t͡ɕʰ ʌ ɰ i
글거	k ɯ l k ʌ
글그며	k ɯ l k ɯ m j ʌ
글쎄	k ɯ l s͈ e
글씨를	k ɯ l s͈ i ɾ ɯ l
금늉조하브로	k ɯ m n j u ŋ t͡ɕ o h a b ɯ ɾ o
금덤판	k ɯ m t ʌ m pʰ a n
금방	k ɯ m p a ŋ
금세	k ɯ m s e
금할	k ɯ m h a l
