аа	aː
агт	a ɡ tʰ
агтнаас	a ɡ tʰ n aː s
агттай	a ɡ tʰtʰ a j
агтын	a ɡ tʰ iː n
агуй	a ɡ ʊi
агуйд	a ɡ ʊi t
агуйнуудаар	a ɡ ʊi n ʊː t aː r
агуу	a ɡ ʊː
агуулагдаж	a ɡ ʊː ɮ a ɡ t a t͡ʃ
агуулагдах	a ɡ ʊː ɮ a ɡ t a x
агуулга	a ɡ ʊː ɮ ɡ a
агуулгаас	a ɡ ʊː ɮ ɡ aː s
агуулгатай	a ɡ ʊː ɮ ɡ a tʰ a j
агуулгыг	a ɡ ʊː ɮ ɡ iː ɡ
агуулдаг	a ɡ ʊː ɮ t a ɡ
агуулж	a ɡ ʊː ɮ t͡ʃ
агуулжээ	a ɡ ʊː ɮ t͡ʃ ɛː
агуулсан	a ɡ ʊː ɮ s a n
агшаахын	a ɡ ʃ aː x iː n
агшин	a ɡ ʃ i n
агшинд	a ɡ ʃ i n t
агшны	a ɡ ʃ n iː
ад	a t
адаг	a t a ɡ
адаглаад	a t a ɡ ɮ aː t
адал	a t a ɮ
адам	a t a m
адармаатай	a t a r m aː tʰ a j
адгаж	a t ɡ a t͡ʃ
адгийн	a t ɡ iː n
адил	a t i ɮ
адилаар	a t i ɮ aː r
адилгүй	a t i ɮ ɡ u j
адилтгал	a t i ɮ tʰ ɡ a ɮ
адилхан	a t i ɮ x a n
админ	a t m i n
адмирал	a t m i r a ɮ
адтай	a t tʰ a j
адуу	a t ʊː
адуугаа	a t ʊː ɡ aː
адуугаар	a t ʊː ɡ aː r
адуун	a t ʊː n
адуунаас	a t ʊː n aː s
адуунд	a t ʊː n t
адууны	a t ʊː n iː
адуучин	a t ʊː t͡ʃʰ i n
аж	a t͡ʃ
ажаагүй	a t͡ʃ aː ɡ u j
ажвал	a t͡ʃ w a ɮ
ажив	a t͡ʃ i w
ажиггүй	a t͡ʃ i ɡ ɡ u j
ажигла	a t͡ʃ i ɡ ɮ a
ажиглав	a t͡ʃ i ɡ ɮ a w
ажиглавал	a t͡ʃ i ɡ ɮ a w a ɮ
ажиглагдаж	a t͡ʃ i ɡ ɮ a ɡ t a t͡ʃ
ажиглагдсангүй	a t͡ʃ i ɡ ɮ a ɡ t s a n ɡ u j
ажиглагчдыг	a t͡ʃ i ɡ ɮ a ɡ t͡ʃʰ t iː ɡ
ажигладаг	a t͡ʃ i ɡ ɮ a t a ɡ
ажиглаж	a t͡ʃ i ɡ ɮ a t͡ʃ
ажиглалт	a t͡ʃ i ɡ ɮ a ɮ tʰ
ажиглан	a t͡ʃ i ɡ ɮ a n
ажигласан	a t͡ʃ i ɡ ɮ a s a n
ажигласнаар	a t͡ʃ i ɡ ɮ a s n aː r
ажигч	a t͡ʃ i ɡ t͡ʃʰ
ажиж	a t͡ʃ i t͡ʃ
ажил	a t͡ʃ i ɮ
ажилгүй	a t͡ʃ i ɮ ɡ u j
ажилгүйдэлтэй	a t͡ʃ i ɮ ɡ u j t ɛ ɮ tʰ ɛ j
ажилд	a t͡ʃ i ɮ t
ажилдаа	a t͡ʃ i ɮ t aː
ажиллаагүй	a t͡ʃ i ɮ ɮ aː ɡ u j
ажиллаад	a t͡ʃ i ɮ ɮ aː t
ажиллавал	a t͡ʃ i ɮ ɮ a w a ɮ
ажиллагаа	a t͡ʃ i ɮ ɮ a ɡ aː
ажиллагааг	a t͡ʃ i ɮ ɮ a ɡ aː ɡ
ажиллагаагаа	a t͡ʃ i ɮ ɮ a ɡ aː ɡ aː
ажиллагаан	a t͡ʃ i ɮ ɮ a ɡ aː n
ажиллагаанд	a t͡ʃ i ɮ ɮ a ɡ aː n t
ажиллагаандаа	a t͡ʃ i ɮ ɮ a ɡ aː n t aː
ажиллагаанууд	a t͡ʃ i ɮ ɮ a ɡ aː n ʊː t
ажиллагааны	a t͡ʃ i ɮ ɮ a ɡ aː n iː
ажиллагаатай	a t͡ʃ i ɮ ɮ a ɡ aː tʰ a j
ажиллагчдынхаас	a t͡ʃ i ɮ ɮ a ɡ t͡ʃʰ t iː n x aː s
ажилладаг	a t͡ʃ i ɮ ɮ a t a ɡ
ажиллаж	a t͡ʃ i ɮ ɮ a t͡ʃ
ажиллажээ	a t͡ʃ i ɮ ɮ a t͡ʃ ɛː
ажиллалаа	a t͡ʃ i ɮ ɮ a ɮ aː
ажиллана	a t͡ʃ i ɮ ɮ a n a
ажилласаар	a t͡ʃ i ɮ ɮ a s aː r
ажилласан	a t͡ʃ i ɮ ɮ a s a n
ажиллах	a t͡ʃ i ɮ ɮ a x
ажиллахад	a t͡ʃ i ɮ ɮ a x a t
ажиллахдаа	a t͡ʃ i ɮ ɮ a x t aː
ажиллахыг	a t͡ʃ i ɮ ɮ a x iː ɡ
ажиллуулаад	a t͡ʃ i ɮ ɮ ʊː ɮ aː t
ажиллуулах	a t͡ʃ i ɮ ɮ ʊː ɮ a x
ажиллуулдаг	a t͡ʃ i ɮ ɮ ʊː ɮ t a ɡ
ажиллуулж	a t͡ʃ i ɮ ɮ ʊː ɮ t͡ʃ
ажиллуулсан	a t͡ʃ i ɮ ɮ ʊː ɮ s a n
ажилсаг	a t͡ʃ i ɮ s a ɡ
ажилтай	a t͡ʃ i ɮ tʰ a j
ажилтан	a t͡ʃ i ɮ tʰ a n
ажилтнууд	a t͡ʃ i ɮ tʰ n ʊː t
ажилтнуудыг	a t͡ʃ i ɮ tʰ n ʊː t iː ɡ
ажилтнуудын	a t͡ʃ i ɮ tʰ n ʊː t iː n
ажилч	a t͡ʃ i ɮ t͡ʃʰ
ажилчдаа	a t͡ʃ i ɮ t͡ʃʰ t aː
ажилчдыг	a t͡ʃ i ɮ t͡ʃʰ t iː ɡ
ажилчдын	a t͡ʃ i ɮ t͡ʃʰ t iː n
ажилчид	a t͡ʃ i ɮ t͡ʃʰ i t
ажилчин	a t͡ʃ i ɮ t͡ʃʰ i n
ажилчны	a t͡ʃ i ɮ t͡ʃʰ n iː
ажих	a t͡ʃ i x
ажлаа	a t͡ʃ ɮ aː
ажлаар	a t͡ʃ ɮ aː r
ажлаараа	a t͡ʃ ɮ aː r aː
ажлаас	a t͡ʃ ɮ aː s
ажлаасаа	a t͡ʃ ɮ aː s aː
ажлыг	a t͡ʃ ɮ iː ɡ
ажлын	a t͡ʃ ɮ iː n
ажлынхаа	a t͡ʃ ɮ iː n x aː
ажлынхан	a t͡ʃ ɮ iː n x a n
ажна	a t͡ʃ n a
ажээ	a t͡ʃ ɛː
аз	a t͡s
азаар	a t͡s aː r
азарга	a t͡s a r ɡ a
азарган	a t͡s a r ɡ a n
азарганы	a t͡s a r ɡ a n iː
азгүй	a t͡s ɡ u j
ази	a t͡s i
азиана	a t͡s ia n a
азийг	a t͡s iː ɡ
азийн	a t͡s iː n
азна	a t͡s n a
азная	a t͡s n a j
азтай	a t͡s tʰ a j
ай	a j
айвал	a j w a ɮ
айвуу	a j w ʊː
айгаа	a j ɡ aː
айгаад	a j ɡ aː t
айдаг	a j t a ɡ
айдаггүй	a j t a ɡ ɡ u j
айдас	a j t a s
айдаст	a j t a s tʰ
айдгаа	a j t ɡ aː
айж	a j t͡ʃ
айжээ	a j t͡ʃ ɛː
айл	a j ɮ
айлаар	a j ɮ aː r
айлгаж	a j ɮ ɡ a t͡ʃ
айлд	a j ɮ t
айлдав	a j ɮ t a w
айлдаж	a j ɮ t a t͡ʃ
айлдах	a j ɮ t a x
айлддаг	a j ɮ t t a ɡ
айлдлаа	a j ɮ t ɮ aː
айлдсан	a j ɮ t s a n
айлтай	a j ɮ tʰ a j
айлтгаж	a j ɮ tʰ ɡ a t͡ʃ
айлтгалыг	a j ɮ tʰ ɡ a ɮ iː ɡ
айлтгана	a j ɮ tʰ ɡ a n a
айлтгуулна	a j ɮ tʰ ɡ ʊː ɮ n a
айлууд	a j ɮ ʊː t
айлуудыг	a j ɮ ʊː t iː ɡ
айлчлал	a j ɮ t͡ʃʰ ɮ a ɮ
айлын	a j ɮ iː n
айлынхан	a j ɮ iː n x a n
аймаар	a j m aː r
аймаг	a j m a ɡ
аймагт	a j m a ɡ tʰ
аймар	a j m a r
аймгийг	a j m ɡ iː ɡ
аймгийн	a j m ɡ iː n
аймгийнхан	a j m ɡ iː n x a n
аймгуудад	a j m ɡ ʊː t a t
аймшгийн	a j m ʃ ɡ iː n
аймшиг	a j m ʃ i ɡ
аймшигт	a j m ʃ i ɡ tʰ
аймшигтай	a j m ʃ i ɡ tʰ a j
айн	a j n
айна	a j n a
айраг	a j r a ɡ
айргаас	a j r ɡ aː s
айргийг	a j r ɡ iː ɡ
айсан	a j s a n
айсуйг	a j s ʊi ɡ
айх	a j x
айхавтар	a j x a w tʰ a r
айхгүй	a j x ɡ u j
айхтар	a j x tʰ a r
айхыг	a j x iː ɡ
аквариумд	a kʰ w a r iʊ m t
акт	a kʰ tʰ
акчайг	a kʰ t͡ʃʰ a j ɡ
ал	a ɮ
алаагүй	a ɮ aː ɡ u j
алав	a ɮ a w
алаг	a ɮ a ɡ
алагдсан	a ɮ a ɡ t s a n
алаглан	a ɮ a ɡ ɮ a n
алагласан	a ɮ a ɡ ɮ a s a n
алаглуулан	a ɮ a ɡ ɮ ʊː ɮ a n
алан	a ɮ a n
алах	a ɮ a x
алахаар	a ɮ a x aː r
алба	a ɮ p a
албаар	a ɮ p aː r
албагүй	a ɮ p a ɡ u j
албадаж	a ɮ p a t a t͡ʃ
албадын	a ɮ p a t iː n
албан	a ɮ p a n
албанаас	a ɮ p a n aː s
албанд	a ɮ p a n t
албанийн	a ɮ p a n iː n
албаны	a ɮ p a n iː
албаныхан	a ɮ p a n iː x a n
албатай	a ɮ p a tʰ a j
албатуудыг	a ɮ p a tʰ ʊː t iː ɡ
албыг	a ɮ p iː ɡ
алга	a ɮ ɡ a
алгаа	a ɮ ɡ aː
алгадаж	a ɮ ɡ a t a t͡ʃ
алгадна	a ɮ ɡ a t n a
алган	a ɮ ɡ a n
алгоритмд	a ɮ ɡ ɔ r i tʰ m t
алгоритмын	a ɮ ɡ ɔ r i tʰ m iː n
алгуурхан	a ɮ ɡ ʊː r x a n
алд	a ɮ t
алдаа	a ɮ t aː
алдааг	a ɮ t aː ɡ
алдаагаа	a ɮ t aː ɡ aː
алдаагүй	a ɮ t aː ɡ u j
алдаад	a ɮ t aː t
алдаанд	a ɮ t aː n t
алдааны	a ɮ t aː n iː
алдаатай	a ɮ t aː tʰ a j
алдав	a ɮ t a w
алдаг	a ɮ t a ɡ
алдагдал	a ɮ t a ɡ t a ɮ
алдагдлыг	a ɮ t a ɡ t ɮ iː ɡ
алдагдсан	a ɮ t a ɡ t s a n
алдагдуулжээ	a ɮ t a ɡ t ʊː ɮ t͡ʃ ɛː
алдаж	a ɮ t a t͡ʃ
алдан	a ɮ t a n
алдана	a ɮ t a n a
алдар	a ɮ t a r
алдартай	a ɮ t a r tʰ a j
алдартнууд	a ɮ t a r tʰ n ʊː t
алдаршиж	a ɮ t a r ʃ i t͡ʃ
алдаршсан	a ɮ t a r ʃ s a n
алдах	a ɮ t a x
алдахгүй	a ɮ t a x ɡ u j
алдахгүйн	a ɮ t a x ɡ u j n
алддаг	a ɮ t t a ɡ
алддаггүй	a ɮ t t a ɡ ɡ u j
алджээ	a ɮ t t͡ʃ ɛː
алдлаа	a ɮ t ɮ aː
алдлан	a ɮ t ɮ a n
алдрыг	a ɮ t r iː ɡ
алдрын	a ɮ t r iː n
алдсаар	a ɮ t s aː r
алдсан	a ɮ t s a n
алдсангүй	a ɮ t s a n ɡ u j
алдсандаа	a ɮ t s a n t aː
алдуулдаг	a ɮ t ʊː ɮ t a ɡ
алдуулж	a ɮ t ʊː ɮ t͡ʃ
алдуулсан	a ɮ t ʊː ɮ s a n
алдчихаа	a ɮ t t͡ʃʰ i x aː
алдчихаад	a ɮ t t͡ʃʰ i x aː t
алдчихав	a ɮ t t͡ʃʰ i x a w
алдчихгүй	a ɮ t t͡ʃʰ i x ɡ u j
алдчихлаа	a ɮ t t͡ʃʰ i x ɮ aː
алдчихсан	a ɮ t t͡ʃʰ i x s a n
алекс	a ɮʲ i kʰ s
александр	a ɮʲ i kʰ s a n t r
александрын	a ɮʲ i kʰ s a n t r iː n
алж	a ɮ t͡ʃ
алжааж	a ɮ t͡ʃ aː t͡ʃ
алжаасан	a ɮ t͡ʃ aː s a n
алжээ	a ɮ t͡ʃ ɛː
алзах	a ɮ t͡s a x
алзахгүй	a ɮ t͡s a x ɡ u j
алзахгүйгээр	a ɮ t͡s a x ɡ u j ɡ ɛː r
алиалагчид	a ɮ ia ɮ a ɡ t͡ʃʰ i t
алив	a ɮ i w
аливаа	a ɮ i w aː
аливааг	a ɮ i w aː ɡ
аливаад	a ɮ i w aː t
алийг	a ɮ iː ɡ
алим	a ɮ i m
алиныг	a ɮ i n iː ɡ
аллаа	a ɮ ɮ aː
алмаазан	a ɮ m aː t͡s a n
алмаас	a ɮ m aː s
алмасны	a ɮ m a s n iː
ална	a ɮ n a
алс	a ɮ s
алсаас	a ɮ s aː s
алслагдал	a ɮ s ɮ a ɡ t a ɮ
алсуураа	a ɮ s ʊː r aː
алсхан	a ɮ s x a n
алсыг	a ɮ s iː ɡ
алсын	a ɮ s iː n
алт	a ɮ tʰ
алтай	a ɮ tʰ a j
алтан	a ɮ tʰ a n
алтангадас	a ɮ tʰ a n ɡ a t a s
алтангэрэлийн	a ɮ tʰ a n ɡ ɛ r ɛ ɮ iː n
алтансүхийг	a ɮ tʰ a n s u x iː ɡ
алтлаг	a ɮ tʰ ɮ a ɡ
алтыг	a ɮ tʰ iː ɡ
алуулж	a ɮ ʊː ɮ t͡ʃ
алуулсны	a ɮ ʊː ɮ s n iː
алуураад	a ɮ ʊː r aː t
алх	a ɮ x
алхаад	a ɮ x aː t
алхав	a ɮ x a w
алхаж	a ɮ x a t͡ʃ
алхална	a ɮ x a ɮ n a
алхам	a ɮ x a m
алхан	a ɮ x a n
алхана	a ɮ x a n a
алхахад	a ɮ x a x a t
алхахлаар	a ɮ x a x ɮ aː r
алхвал	a ɮ x w a ɮ
алхлаа	a ɮ x ɮ aː
алхлан	a ɮ x ɮ a n
алхмаар	a ɮ x m aː r
алхмуудыг	a ɮ x m ʊː t iː ɡ
алхмыг	a ɮ x m iː ɡ
алхмын	a ɮ x m iː n
алхсаар	a ɮ x s aː r
алхуулав	a ɮ x ʊː ɮ a w
алхуулна	a ɮ x ʊː ɮ n a
алчих	a ɮ t͡ʃʰ i x
алчуураар	a ɮ t͡ʃʰ ʊː r aː r
алчуурын	a ɮ t͡ʃʰ ʊː r iː n
аль	a ɮʲ
альвин	a ɮʲ w i n
ам	a m
амаа	a m aː
амаар	a m aː r
амал	a m a ɮ
аман	a m a n
аманд	a m a n t
амандаа	a m a n t aː
амар	a m a r
амаргүй	a m a r ɡ u j
амаржих	a m a r t͡ʃ i x
амарлаа	a m a r ɮ aː
амарлингуй	a m a r ɮ i n ɡ ʊi
амарлиулдаг	a m a r ɮ iʊ ɮ t a ɡ
амарна	a m a r n a
амарсангүй	a m a r s a n ɡ u j
амархан	a m a r x a n
амарч	a m a r t͡ʃʰ
амарчээ	a m a r t͡ʃʰ ɛː
амаръя	a m a rʲ a
амбаар	a m p aː r
амбаараас	a m p aː r aː s
амбан	a m p a n
амгалан	a m ɡ a ɮ a n
амгаланг	a m ɡ a ɮ a n ɡ
амдсан	a m t s a n
америк	a mʲ i r i kʰ
америкийг	a mʲ i r i kʰ iː ɡ
америкийн	a mʲ i r i kʰ iː n
америкт	a mʲ i r i kʰ tʰ
америкчуудын	a mʲ i r i kʰ t͡ʃʰ ʊː t iː n
амжаагүй	a m t͡ʃ aː ɡ u j
амжаад	a m t͡ʃ aː t
амжжээ	a m t͡ʃt͡ʃ ɛː
амжив	a m t͡ʃ i w
амжиж	a m t͡ʃ i t͡ʃ
амжилгүй	a m t͡ʃ i ɮ ɡ u j
амжилт	a m t͡ʃ i ɮ tʰ
амжилтаа	a m t͡ʃ i ɮ tʰ aː
амжилтаар	a m t͡ʃ i ɮ tʰ aː r
амжилтад	a m t͡ʃ i ɮ tʰ a t
амжилттай	a m t͡ʃ i ɮ tʰtʰ a j
амжилтыг	a m t͡ʃ i ɮ tʰ iː ɡ
амжилтын	a m t͡ʃ i ɮ tʰ iː n
амжсан	a m t͡ʃ s a n
амжуулахын	a m t͡ʃ ʊː ɮ a x iː n
амжуулдаг	a m t͡ʃ ʊː ɮ t a ɡ
амжуулна	a m t͡ʃ ʊː ɮ n a
амиа	a m ia
амийг	a m iː ɡ
амилдаг	a m i ɮ t a ɡ
амилж	a m i ɮ t͡ʃ
амилсангүй	a m i ɮ s a n ɡ u j
амилчих	a m i ɮ t͡ʃʰ i x
амин	a m i n
аминаасаа	a m i n aː s aː
аминд	a m i n t
аминдаа	a m i n t aː
амины	a m i n iː
амлаад	a m ɮ aː t
амлаарай	a m ɮ aː r a j
амлалаа	a m ɮ a ɮ aː
амлалт	a m ɮ a ɮ tʰ
амлалтаасаа	a m ɮ a ɮ tʰ aː s aː
амлалтад	a m ɮ a ɮ tʰ a t
амласан	a m ɮ a s a n
амнаас	a m n aː s
амны	a m n iː
амраад	a m r aː t
амралтаар	a m r a ɮ tʰ aː r
амралтад	a m r a ɮ tʰ a t
амралтын	a m r a ɮ tʰ iː n
амран	a m r a n
амрах	a m r a x
амсхийхийн	a m s x iː x iː n
амт	a m tʰ
амтай	a m tʰ a j
амтанд	a m tʰ a n t
амтлаг	a m tʰ ɮ a ɡ
амтлах	a m tʰ ɮ a x
амттай	a m tʰtʰ a j
амттайхан	a m tʰtʰ a j x a n
амттантай	a m tʰtʰ a n tʰ a j
амыг	a m iː ɡ
амын	a m iː n
амь	a mʲ
амьд	a mʲ t
амьдардаг	a mʲ t a r t a ɡ
амьдармаар	a mʲ t a r m aː r
амьдарна	a mʲ t a r n a
амьдарсаар	a mʲ t a r s aː r
амьдарсан	a mʲ t a r s a n
амьдарсангүй	a mʲ t a r s a n ɡ u j
амьдарцгаажээ	a mʲ t a r t͡sʰ ɡ aː t͡ʃ ɛː
амьдарч	a mʲ t a r t͡ʃʰ
амьдраасай	a mʲ t r aː s a j
амьдраач	a mʲ t r aː t͡ʃʰ
амьдрал	a mʲ t r a ɮ
амьдралаа	a mʲ t r a ɮ aː
амьдралаар	a mʲ t r a ɮ aː r
амьдралаас	a mʲ t r a ɮ aː s
амьдралд	a mʲ t r a ɮ t
амьдралдаа	a mʲ t r a ɮ t aː
амьдралтай	a mʲ t r a ɮ tʰ a j
амьдралыг	a mʲ t r a ɮ iː ɡ
амьдралын	a mʲ t r a ɮ iː n
амьдралынхаа	a mʲ t r a ɮ iː n x aː
амьдран	a mʲ t r a n
амьдрах	a mʲ t r a x
амьдрахад	a mʲ t r a x a t
амьдрахын	a mʲ t r a x iː n
амьжиргааны	a mʲ t͡ʃ i r ɡ aː n iː
амьсгаа	a mʲ s ɡ aː
амьсгаадаж	a mʲ s ɡ aː t a t͡ʃ
амьсгаадан	a mʲ s ɡ aː t a n
амьсгал	a mʲ s ɡ a ɮ
амьсгалаа	a mʲ s ɡ a ɮ aː
амьсгалавч	a mʲ s ɡ a ɮ a w t͡ʃʰ
амьсгалд	a mʲ s ɡ a ɮ t
амьсгалж	a mʲ s ɡ a ɮ t͡ʃ
амьсгална	a mʲ s ɡ a ɮ n a
амьтад	a mʲ tʰ a t
амьтан	a mʲ tʰ a n
амьтанд	a mʲ tʰ a n t
амьтантай	a mʲ tʰ a n tʰ a j
амьтдаар	a mʲ tʰ t aː r
амьтдад	a mʲ tʰ t a t
амьтдыг	a mʲ tʰ t iː ɡ
амьтдын	a mʲ tʰ t iː n
амьтнаас	a mʲ tʰ n aː s
амьтны	a mʲ tʰ n iː
амьтныг	a mʲ tʰ n iː ɡ
амьтныхаа	a mʲ tʰ n iː x aː
амьхандаа	a mʲ x a n t aː
ан	a n
анагаах	a n a ɡ aː x
анаж	a n a t͡ʃ
анаконда	a n a kʰ ɔ n t a
анг	a n ɡ
ангайж	a n ɡ a j t͡ʃ
ангайн	a n ɡ a j n
ангайна	a n ɡ a j n a
ангалд	a n ɡ a ɮ t
ангалзсанаа	a n ɡ a ɮ t͡s s a n aː
анги	a n ɡ i
ангиа	a n ɡ ia
ангиас	a n ɡ ia s
ангиасаа	a n ɡ ia s aː
ангид	a n ɡ i t
ангидаа	a n ɡ i t aː
ангижраад	a n ɡ i t͡ʃ r aː t
ангижрахыг	a n ɡ i t͡ʃ r a x iː ɡ
ангижруулах	a n ɡ i t͡ʃ r ʊː ɮ a x
ангийг	a n ɡ iː ɡ
ангийн	a n ɡ iː n
ангийнхаа	a n ɡ iː n x aː
ангийнхан	a n ɡ iː n x a n
ангийнхантайгаа	a n ɡ iː n x a n tʰ a j ɡ aː
ангилдаг	a n ɡ i ɮ t a ɡ
ангилж	a n ɡ i ɮ t͡ʃ
ангилна	a n ɡ i ɮ n a
ангир	a n ɡ i r
англи	a n ɡ ɮ i
англиар	a n ɡ ɮ ia r
английн	a n ɡ ɮ iː n
англичууд	a n ɡ ɮ i t͡ʃʰ ʊː t
анд	a n t
андахгүй	a n t a x ɡ u j
андрей	a n t rʲ i j
андуудыг	a n t ʊː t iː ɡ
андууран	a n t ʊː r a n
